     Src IP Addr,     Dst IP Addr,     bps, Duration,        Date first seen,         Date last seen
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:31:09.550,2020-02-25 08:31:09.550
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:31:09.550,2020-02-25 08:31:09.550
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:31:09.550,2020-02-25 08:31:09.550
    45.63.43.171,   217.15.20.194,       0,    0.000,2020-02-25 08:31:10.010,2020-02-25 08:31:10.010
 192.168.250.247,    45.63.43.171,       0,    0.000,2020-02-25 08:31:10.010,2020-02-25 08:31:10.010
     85.21.78.91,   217.15.20.194,       1, 3139.000,2020-02-25 07:38:52.170,2020-02-25 08:31:11.170
  23.226.231.226,   217.15.20.194,       0,    0.000,2020-02-25 08:31:13.100,2020-02-25 08:31:13.100
   192.168.250.3,  192.36.143.130,       1, 3093.900,2020-02-25 07:39:39.360,2020-02-25 08:31:13.260
  23.226.231.226,   217.15.20.194,       1,  543.030,2020-02-25 08:22:10.780,2020-02-25 08:31:13.810
  192.168.250.27,    77.74.181.18,     329,   20.040,2020-02-25 08:30:57.090,2020-02-25 08:31:17.130
    77.74.181.18,   217.15.20.194,     143,   20.040,2020-02-25 08:30:57.100,2020-02-25 08:31:17.140
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:17.250,2020-02-25 08:31:17.250
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:17.260,2020-02-25 08:31:17.260
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:17.260,2020-02-25 08:31:17.260
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:17.260,2020-02-25 08:31:17.260
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:17.410,2020-02-25 08:31:17.410
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:17.420,2020-02-25 08:31:17.420
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:17.420,2020-02-25 08:31:17.420
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:17.420,2020-02-25 08:31:17.420
   192.168.250.3,  23.226.231.226,      79,   31.130,2020-02-25 08:30:47.460,2020-02-25 08:31:18.590
  64.233.162.188,   217.15.20.194,      14, 3555.400,2020-02-25 07:32:04.060,2020-02-25 08:31:19.460
  192.168.250.50,    140.82.118.5,     177,  105.610,2020-02-25 08:29:34.660,2020-02-25 08:31:20.270
    140.82.118.5,   217.15.20.194,     472,  105.600,2020-02-25 08:29:34.700,2020-02-25 08:31:20.300
    92.118.38.58,   217.15.20.194,     743,   11.100,2020-02-25 08:31:09.480,2020-02-25 08:31:20.580
   192.168.250.3,    92.118.38.58,     700,   11.100,2020-02-25 08:31:09.480,2020-02-25 08:31:20.580
     172.253.6.1,   217.15.20.194,       0,    0.000,2020-02-25 08:31:21.080,2020-02-25 08:31:21.080
 192.168.250.247,     172.253.6.1,       0,    0.000,2020-02-25 08:31:21.080,2020-02-25 08:31:21.080
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:31:23.430,2020-02-25 08:31:23.430
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:31:23.440,2020-02-25 08:31:23.440
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:31:23.440,2020-02-25 08:31:23.440
